,negative,positive,total
francis,1,1,2
francisco,0,2,2
francophones,0,1,1
frank,0,2,2
franked,0,1,1
frankie,0,1,1
franklin,0,1,1
frankly,0,1,1
frantic,1,0,1
franzi,1,0,1
frappes,1,0,1
frappucino,1,0,1
fraps,0,1,1
frd,0,1,1
freak,1,2,3
freaked,2,1,3
freakin,5,7,12
freaking,10,3,13
freaky,0,1,1
freckles,0,1,1
fred,1,5,6
freddie,1,0,1
freddy,0,1,1
free,25,21,46
freebies,0,2,2
freedom,3,2,5
freeeeeeeeeeee,1,0,1
freefest,1,0,1
freelance,1,1,2
freelancing,0,1,1
freeroll,0,1,1
freerunner,0,1,1
freeze,0,1,1
freezer,1,1,2
freezing,1,6,7
freitag,0,1,1
french,3,4,7
frenchfest,1,0,1
frenz,0,1,1
frenzy,0,1,1
fresh,5,2,7
fresher,0,1,1
freshness,0,1,1
fresno,0,1,1
fressh,0,1,1
fret,0,1,1
fretting,1,0,1
frezing,1,0,1
fri,1,0,1
friadays,0,1,1
friboourg,0,1,1
fricken,0,1,1
frickin,1,0,1
friday,15,18,33
fridays,0,1,1
fridge,1,0,1
fried,2,1,3
frieends,1,0,1
friend,27,33,60
friended,0,1,1
friendfeed,0,3,3
friendly,1,7,8
friends,47,33,80
friendships,1,0,1
friendster,0,1,1
fries,2,1,3
friggin,1,1,2
frightened,1,0,1
friiiend,0,1,1
fringe,1,1,2
frisbee,2,0,2
fritz,3,0,3
frm,0,1,1
frnds,2,0,2
fro,1,0,1
frog,0,1,1
froggy,1,0,1
frogs,0,1,1
from,171,176,347
front,7,3,10
frontier,0,1,1
fropm,0,1,1
frosted,0,1,1
froulala,0,1,1
frows,1,0,1
frozen,3,2,5
frpm,1,0,1
fruit,1,3,4
fruits,0,2,2
frum,1,0,1
frustrated,1,0,1
frustrates,1,0,1
frustrating,4,1,5
fry,1,1,2
ftsk,1,0,1
ftth,0,1,1
fttn,0,1,1
ftw,2,1,3
fuccccccckkkkkk,1,0,1
fuchs,0,1,1
fuck,15,12,27
fucked,7,1,8
fucken,1,1,2
fuckin,3,3,6
fucking,9,7,16
fuckk,1,0,1
fucks,1,0,1
fudge,2,0,2
fuee,1,0,1
fuel,1,0,1
fuffy,1,0,1
fuk,0,2,2
fukin,0,1,1
fuking,1,0,1
fukuoka,0,1,1
fulfilling,0,1,1
fulfillment,0,1,1
full,13,14,27
fully,1,0,1
fun,51,86,137
functions,0,2,2
funding,0,2,2
funds,3,0,3
funeral,5,1,6
funerals,1,0,1
funk,2,1,3
funky,0,1,1
funn,1,0,1
funness,0,1,1
funnest,0,1,1
funnier,1,0,1
funniest,0,1,1
funnifunniest,0,1,1
funnn,1,0,1
funny,11,28,39
fupid,0,1,1
fur,1,0,1
furious,0,6,6
furlough,1,0,1
further,1,2,3
fusion,1,1,2
fuss,1,0,1
fussed,0,1,1
fussy,1,0,1
fut,0,1,1
futuralogija,0,1,1
future,3,13,16
futuretweets,1,0,1
fuuuuuuuun,0,1,1
fuzzy,1,2,3
fwd,0,2,2
fyi,2,2,4
fyn,1,0,1
ga,2,0,2
gaaaaaaaaaaaad,1,0,1
gaat,0,1,1
gables,0,3,3
gac,1,0,1
gadget,0,2,2
gadgets,0,1,1
gaga,0,2,2
gagov,1,0,1
gah,3,0,3
gahh,1,0,1
gahhh,1,0,1
gain,1,1,2
gained,0,1,1
gal,1,0,1
galactic,1,0,1
galaxies,0,1,1
galizle,1,0,1
gallery,1,0,1
gallivanting,1,0,1
gallons,1,0,1
galore,0,1,1
galt,1,0,1
gama,1,0,1
game,16,21,37
gamer,1,0,1
games,6,7,13
gametap,1,0,1
gaming,0,4,4
gammie,1,0,1
ganda,0,1,1
gandhis,0,1,1
gang,0,1,1
ganging,1,0,1
ganna,1,0,1
gansta,1,0,1
garage,1,1,2
garance,0,1,1
garbage,1,0,1
garden,4,2,6
gardening,0,1,1
gargoyles,0,1,1
garlic,1,0,1
garmo,1,0,1
garr,1,0,1
gary,1,1,2
gas,4,0,4
gasit,0,1,1
gasp,2,0,2
gaspar,0,1,1
gastric,2,0,2
gastroscopy,1,0,1
gate,1,0,1
gather,1,0,1
gatorade,1,0,1
gaux,1,0,1
gave,14,6,20
gavin,0,2,2
gawd,1,0,1
gawddamnit,1,0,1
gawjuss,0,1,1
gay,4,3,7
gazz,3,0,3
gb,7,3,10
gbs,0,1,1
gcap,1,0,1
gd,3,2,5
gear,1,2,3
gears,0,1,1
gee,1,2,3
geee,1,0,1
geeeeee,1,0,1
geek,2,3,5
geekery,0,1,1
geekette,1,0,1
geeking,0,1,1
geekyness,0,1,1
geem,1,0,1
geez,1,2,3
gefelicidingest,0,1,1
geforce,1,0,1
geisha,0,1,1
gelukkig,0,1,1
gemiddelde,1,0,1
gemma,1,0,1
gen,1,0,1
gender,0,1,1
general,2,4,6
generally,1,0,1
generation,0,1,1
generic,0,2,2
geneseo,1,0,1
genius,0,2,2
genre,0,1,1
genting,1,0,1
gentle,0,3,3
geo,1,0,1
geoff,0,1,1
geography,0,1,1
geopolitical,0,1,1
georg,0,1,1
george,0,5,5
georgia,2,3,5
ger,2,0,2
gerade,0,2,2
german,4,3,7
germandoo,0,2,2
germans,0,1,1
germany,3,6,9
gest,1,0,1
get,269,207,476
gets,15,6,21
gettin,8,2,10
getting,90,63,153
gf,1,5,6
gft,1,0,1
gg,0,2,2
gggrrrr,1,0,1
ggui,0,2,2
gh,0,3,3
gherkins,0,1,1
ghetto,2,0,2
ghods,0,1,1
ghost,3,2,5
ghostbusters,1,0,1
ghostland,0,1,1
ghosts,0,1,1
ghwt,1,0,1
gi,2,0,2
gia,1,0,1
gianetta,1,0,1
giant,2,4,6
giants,0,1,1
gibbo,1,0,1
gibson,0,2,2
giddy,0,1,1
gift,4,6,10
gig,6,4,10
giggle,2,0,2
gigglessssssss,0,1,1
gigs,2,5,7
giiirl,1,0,1
gilad,1,0,1
gilles,0,2,2
gillmor,0,1,1
gimme,1,2,3
gimmicks,1,0,1
gina,1,0,1
gingerale,1,0,1
ginormica,0,1,1
gio,1,0,1
giraffe,0,1,1
girl,20,29,49
girlfriend,2,4,6
girlguidecookies,0,1,1
girlie,0,2,2
girllllll,0,1,1
girllllllllll,1,0,1
girls,9,8,17
girlsbydesign,0,2,2
girly,1,6,7
git,1,3,4
giv,0,1,1
give,28,35,63
given,5,5,10
giver,1,0,1
gives,2,4,6
giving,6,3,9
gizmo,1,0,1
gl,1,0,1
glad,12,69,81
gladly,0,1,1
glam,1,0,1
glasgow,0,1,1
glass,2,2,4
glasses,6,1,7
glasshouse,2,0,2
glasto,7,0,7
glastonbury,3,0,3
glau,0,2,2
glazed,0,1,1
glenn,1,0,1
glitter,0,1,1
gljufura,1,0,1
globe,0,3,3
gloomy,1,1,2
glorious,2,2,4
glue,0,1,1
gluten,1,0,1
gm,0,1,1
gma,1,1,2
gmail,5,1,6
gmic,0,1,1
gmsq,0,1,1
gmt,1,0,1
gnight,0,1,1
gnite,1,2,3
go,269,169,438
goa,0,1,1
goal,1,2,3
goats,0,1,1
goblin,0,1,1
god,50,30,80
goddamn,0,1,1
goddamnit,1,0,1
goddd,1,0,1
goddess,0,3,3
godfather,0,1,1
gods,0,2,2
godsend,0,1,1
godson,0,1,1
goes,14,14,28
goig,1,0,1
goin,11,8,19
going,183,206,389
goinig,0,1,1
gold,1,2,3
golda,0,2,2
golden,2,1,3
goldfish,1,1,2
goldie,1,0,1
golf,4,1,5
golfball,0,1,1
golly,1,0,1
gona,2,2,4
gone,37,10,47
goneback,0,1,1
gong,1,0,1
gonna,77,43,120
gonnna,1,0,1
gonuts,0,1,1
gonzalez,1,0,1
gonzo,0,1,1
goo,1,1,2
good,186,420,606
goodbye,25,1,26
goodbyes,1,0,1
gooddd,0,1,1
goodie,0,1,1
goodies,0,3,3
goodluck,0,2,2
goodman,0,2,2
goodmorning,4,2,6
goodness,3,8,11
goodnight,0,45,45
goodnightttttt,0,1,1
goods,0,1,1
goodtimes,0,1,1
goody,1,1,2
gooey,0,1,1
goofballism,1,0,1
goofing,1,0,1
goofy,1,0,1
goog,0,1,1
google,2,4,6
googling,0,1,1
gooo,1,0,1
goood,1,3,4
gooodnight,0,1,1
gooodnyt,0,1,1
gooooo,1,0,1
goooood,0,2,2
goooooo,1,0,1
gooooood,0,2,2
goooooood,0,4,4
gooooooood,0,2,2
gooooooooood,0,2,2
goooooooooood,0,1,1
goose,2,1,3
gopets,1,0,1
gorge,0,1,1
gorgeous,4,7,11
gorgeoussssss,0,1,1
gos,1,0,1
gosh,13,5,18
goshh,1,0,1
goshhh,1,0,1
goshhhhhhhhhh,1,0,1
gospel,0,2,2
goss,1,0,1
gosselins,1,0,1
gossip,1,2,3
gossipgirl,0,1,1
got,200,164,364
gota,1,1,2
gotchu,0,1,1
gothic,0,1,1
gotmilk,0,1,1
gots,0,1,1
gott,0,1,1
gotta,32,26,58
gotten,2,3,5
gotts,1,0,1
gov,1,1,2
govanhill,0,1,1
govenor,1,0,1
government,1,2,3
gown,0,1,1
gowns,0,1,1
gp,1,0,1
gpl,1,0,1
gpoing,1,0,1
gpokr,0,1,1
gps,1,0,1
gr,1,3,4
grab,2,2,4
grabbed,0,1,1
grabbing,0,1,1
grabe,1,0,1
grace,0,1,1
gracious,0,1,1
grad,2,0,2
grade,6,2,8
graders,0,1,1
gradients,0,1,1
gradually,1,0,1
graduands,1,0,1
graduate,2,0,2
graduated,0,1,1
graduatiion,1,0,1
graduation,6,4,10
graft,1,0,1
graham,1,0,1
grampy,1,0,1
grams,0,1,1
grana,0,1,1
grand,2,3,5
grandad,0,2,2
grandads,1,0,1
grandfather,1,0,1
grandma,7,1,8
grandmother,1,1,2
grandpa,4,2,6
grandparents,0,3,3
granffathers,1,0,1
granma,0,1,1
grannies,1,0,1
granola,1,0,1
granted,1,0,1
granular,0,1,1
grapes,0,2,2
graph,0,1,1
graphic,0,1,1
graphics,1,0,1
grass,4,2,6
grateful,1,8,9
gratitude,0,2,2
gratz,0,1,1
grave,1,0,1
greaaat,0,1,1
great,48,142,190
greater,0,2,2
greatest,1,4,5
greatly,1,1,2
greattt,0,1,1
grebel,0,1,1
greece,1,0,1
greed,0,1,1
greeeeeaaaaaatttt,1,0,1
greek,2,4,6
greekfest,1,0,1
green,7,11,18
greenbelt,0,1,1
greening,0,1,1
greet,0,1,1
greeting,0,2,2
greetings,0,4,4
greets,0,1,1
grew,2,2,4
grey,4,2,6
greyish,0,1,1
greys,1,0,1
griffin,0,1,1
grill,0,1,1
grilled,0,1,1
grim,3,0,3
grin,0,2,2
grinch,0,1,1
grind,0,1,1
grindin,0,1,1
grins,0,1,1
grip,0,1,1
grisly,0,1,1
grist,0,1,1
grocery,1,0,1
groggy,1,0,1
groin,1,0,1
groove,0,1,1
grooves,0,1,1
gross,7,1,8
grossed,1,0,1
grossenhain,1,0,1
ground,0,1,1
grounded,1,0,1
grounds,1,0,1
group,2,7,9
groups,1,1,2
groupthing,1,0,1
grow,3,1,4
growin,1,0,1
growing,6,2,8
growl,0,1,1
growling,1,0,1
growls,1,0,1
grown,2,1,3
grownup,0,1,1
grows,1,1,2
growth,1,0,1
grps,0,1,1
grr,4,1,5
grreat,1,0,1
grrr,1,1,2
grrrh,1,0,1
grrrr,4,0,4
grrrrr,0,1,1
grrrrrr,1,0,1
grrrrrrr,2,1,3
grrrrrrrrr,1,0,1
grubb,0,1,1
grumble,1,0,1
grumbled,1,0,1
grumbling,0,1,1
grump,3,0,3
grumpy,2,0,2
gs,5,0,5
gse,1,0,1
gsoc,0,1,1
gt,2,1,3
gta,1,1,2
gtx,1,0,1
guard,0,1,1
guatemala,1,0,1
gud,0,1,1
guess,46,28,74
guessed,1,0,1
guesses,0,1,1
guessing,2,1,3
guest,0,2,2
guia,0,1,1
guide,2,0,2
guidebook,0,1,1
guilt,1,0,1
guilty,10,2,12
guinea,0,2,2
guineapig,0,1,1
guinness,1,0,1
guipulp,0,1,1
guitar,4,2,6
guitarr,0,1,1
guitarriot,1,0,1
gulf,0,1,1
gulp,1,0,1
gum,0,1,1
gumaling,0,1,1
gummy,0,1,1
guna,1,0,1
gunna,4,2,6
gunnna,0,1,1
gunnnna,1,0,1
guns,0,1,1
guppy,1,0,1
gupshup,1,0,1
gurl,0,10,10
gurrrll,1,0,1
gurus,1,0,1
gushing,1,0,1
gusta,1,0,1
gut,1,0,1
guts,1,0,1
gutted,6,0,6
gutting,1,0,1
guy,18,17,35
guys,40,50,90
guyz,1,0,1
gvshc,0,1,1
gw,1,1,2
gyal,0,1,1
gyan,0,1,1
gym,8,10,18
gymnastics,1,0,1
gyms,0,1,1
ha,7,20,27
haa,1,4,5
haaa,1,0,1
haaaaa,1,0,1
haaaaaaaaahahahahahah,0,1,1
haaay,1,0,1
haarlem,1,0,1
haarp,0,1,1
haay,0,1,1
habanero,1,0,1
habe,0,1,1
habit,2,1,3
hacked,1,0,1
hacker,0,2,2
hacking,1,0,1
had,183,119,302
hadn,3,1,4
hadnt,0,1,1
hagan,1,0,1
hah,1,3,4
haha,55,111,166
hahaa,0,1,1
hahaaa,0,1,1
hahah,3,4,7
hahaha,6,27,33
hahahah,1,2,3
hahahaha,1,4,5
hahahahaha,0,1,1
hahahahaing,1,0,1
hahahha,0,2,2
hahas,0,1,1
hahawell,0,1,1
hahha,2,1,3
hahhahahaa,0,1,1
hai,0,1,1
hail,1,0,1
hailing,1,0,1
hain,2,0,2
hair,47,23,70
haircut,2,1,3
hairdresser,1,0,1
hairdressers,0,1,1
haired,1,0,1
hairrrrr,1,0,1
hairspray,1,1,2
hairstyle,2,0,2
hairthing,1,0,1
haiyaa,0,1,1
haiz,1,0,1
haizzz,1,0,1
hakavod,0,1,1
half,25,11,36
halfords,1,0,1
hallie,1,0,1
hallo,0,1,1
halloween,1,2,3
halls,0,1,1
ham,0,1,1
hamaray,1,0,1
hamburgers,0,1,1
hamil,0,1,1
hamlet,0,1,1
hammer,1,0,1
hamptons,1,0,1
hamstring,1,0,1
hamsty,0,1,1
hamu,0,1,1
hancock,1,0,1
hand,9,10,19
handcoding,0,1,1
handed,1,0,1
handful,0,1,1
handle,7,1,8
handled,1,0,1
handler,1,0,1
handrolls,0,1,1
hands,4,4,8
handsome,1,0,1
handwriting,1,0,1
handwrote,0,1,1
hang,4,5,9
hangbags,0,1,1
hanger,1,0,1
hanging,3,8,11
hangout,0,1,1
hangover,1,0,1
hani,0,1,1
hank,0,1,1
hankering,0,1,1
hannah,2,5,7
happen,11,17,28
happened,19,3,22
happening,4,5,9
happens,10,6,16
happi,0,1,1
happier,0,4,4
happily,1,1,2
happiness,1,2,3
happpy,0,1,1
happy,35,109,144
har,0,3,3
harassing,0,1,1
harbor,3,0,3
hard,30,21,51
hardcore,2,3,5
harder,6,6,12
hardest,4,1,5
hardley,1,0,1
hardly,3,3,6
hardy,1,0,1
harley,0,1,1
harness,0,1,1
harold,0,1,1
harris,2,1,3
harrison,0,1,1
harrow,0,1,1
harry,1,2,3
haruhi,1,0,1
harvey,1,0,1
has,207,66,273
hasbro,1,0,1
hash,0,2,2
hasn,5,2,7
hasnt,2,0,2
hassle,2,1,3
hast,1,0,1
hasta,1,1,2
haste,1,0,1
hat,2,4,6
hate,88,17,105
hated,3,0,3
hateedddd,1,0,1
haters,18,0,18
hates,5,2,7
hatin,1,0,1
hating,1,0,1
hatred,0,1,1
hats,0,2,2
hatte,0,2,2
haueaueua,1,0,1
haul,1,0,1
haumean,1,0,1
haunt,0,1,1
haunting,1,1,2
hav,9,3,12
have,447,414,861
haveing,0,1,1
haven,26,14,40
havent,6,6,12
havin,1,1,2
having,40,48,88
havoc,1,0,1
hawaii,1,2,3
hawaiian,0,1,1
hawley,0,1,1
hawn,1,0,1
hawt,2,0,2
hawx,0,1,1
hay,2,3,5
haydn,0,1,1
hayfever,5,0,5
hayles,1,0,1
haylie,0,1,1
hays,1,0,1
hayy,0,1,1
haz,2,1,3
hazard,1,0,1
hazardous,0,1,1
hazrat,1,0,1
hazy,0,1,1
hb,0,3,3
hbo,1,0,1
hbu,1,0,1
hcc,0,1,1
hd,1,1,2
hdd,1,0,1
he,97,106,203
head,31,21,52
headache,33,2,35
headaches,1,0,1
headachhhhe,1,0,1
headbanging,0,1,1
headed,4,5,9
headin,1,1,2
heading,11,10,21
headings,0,1,1
headless,0,1,1
headline,1,1,2
headphones,1,1,2
heads,5,4,9
headset,0,1,1
headshot,1,0,1
heah,0,1,1
heal,2,1,3
healed,0,1,1
health,4,3,7
healthy,3,4,7
healty,1,0,1
heaps,0,3,3
hear,52,23,75
heard,22,9,31
hearing,2,3,5
heart,18,10,28
heartbreak,1,0,1
heartbreaken,1,0,1
heartbreaking,4,0,4
heartbroken,2,0,2
hearted,2,1,3
heartedly,1,0,1
hearth,0,1,1
hearts,1,2,3
heat,18,4,22
heated,1,0,1
heater,0,1,1
heather,0,1,1
heating,1,0,1
heaven,12,3,15
heavenly,0,2,2
heavily,2,0,2
heavy,3,2,5
hebden,0,1,1
hebrew,1,1,2
heck,1,1,2
hectic,1,1,2
heeeeeeeeey,0,1,1
heeellpppp,1,0,1
heehee,0,1,1
heel,1,0,1
heels,2,2,4
heey,0,1,1
heh,1,15,16
hehe,8,36,44
hehee,0,1,1
heheh,0,1,1
hehehe,1,6,7
hehehee,0,1,1
hehehehe,1,0,1
hehehehehe,0,2,2
hehehehehehe,1,0,1
hei,0,1,1
heidi,1,1,2
height,0,1,1
heights,2,1,3
held,1,2,3
helio,1,0,1
hell,17,12,29
hella,3,2,5
hellicopter,1,0,1
hellish,0,1,1
hello,7,23,30
hellooooooooo,0,1,1
hellos,0,1,1
hells,0,2,2
hellyeah,0,1,1
hellz,0,1,1
helmet,1,1,2
help,44,34,78
helped,0,2,2
helper,0,1,1
helpful,1,3,4
helping,3,4,7
helps,0,6,6
hemel,0,1,1
hemo,1,0,1
hemoglobin,1,0,1
hempstead,0,1,1
henrie,1,0,1
henry,1,2,3
hepcat,1,0,1
her,193,60,253
herbal,0,1,1
herbert,0,2,2
hercules,2,0,2
herd,0,1,1
herder,0,1,1
here,121,119,240
hereee,1,0,1
heres,0,2,2
heritage,1,0,1
hermans,0,1,1
hermes,1,0,1
hermits,0,1,1
hero,4,3,7
heroes,0,5,5
herr,1,0,1
herrr,0,1,1
hers,1,0,1
herself,4,0,4
hes,7,2,9
hesitate,0,1,1
het,0,1,1
hewis,0,1,1
hewit,1,0,1
hewitt,1,0,1
hey,27,72,99
heya,0,1,1
heydemi,0,1,1
heyxboxlive,0,1,1
heyy,0,4,4
heyyyy,0,2,2
heyyyyy,0,2,2
heyyyyyy,0,1,1
heyyyyyyyyyyy,0,1,1
hhh,1,0,1
hhhmmm,0,1,1
hhmm,0,1,1
hhmmm,1,0,1
hhrs,0,1,1
hi,16,49,65
hiatus,0,1,1
hibernating,1,0,1
hiccups,0,1,1
hid,0,1,1
hidden,1,0,1
hidding,1,0,1
hide,2,1,3
hideous,1,0,1
hiding,0,1,1
hierd,0,1,1
higgggh,0,1,1
high,8,8,16
highest,0,1,1
highland,1,0,1
highlight,0,1,1
highlighter,0,1,1
highlights,0,2,2
highly,0,3,3
highschool,1,0,1
highscore,1,0,1
hightech,0,1,1
hightlight,1,0,1
highway,0,1,1
hihi,0,2,2
hiii,0,1,1
hiiiii,0,1,1
hijack,1,0,1
hike,0,1,1
hiking,2,1,3
hilarious,0,9,9
hilariously,1,0,1
hilary,0,1,1
hill,2,3,5
hillarious,0,1,1
hills,1,10,11
hillssssss,0,1,1
hilton,1,0,1
hiltons,1,0,1
him,63,57,120
himself,0,2,2
hin,0,1,1
hinders,1,0,1
hint,2,3,5
hip,2,3,5
hippidy,0,1,1
hipster,1,1,2
hire,0,2,2
hired,0,1,1
hiring,1,1,2
hiro,0,1,1
his,44,48,92
historie,1,0,1
historrrrry,1,0,1
history,1,4,5
hit,9,13,22
hitchin,1,0,1
hitchman,0,1,1
hithavaru,0,1,1
hits,2,1,3
hitten,0,1,1
hittin,0,1,1
hitting,4,2,6
hittman,1,0,1
hiya,0,4,4
hk,0,2,2
hko,0,1,1
hl,0,1,1
hlww,0,1,1
hm,2,7,9
hmm,13,14,27
hmmm,4,9,13
hmmmm,0,2,2
hmmmmm,1,0,1
ho,4,4,8
hobbits,0,1,1
hockey,2,0,2
hoe,0,1,1
hoffentlich,1,0,1
hogan,1,0,1
hoho,1,0,1
hol,0,1,1
hola,0,3,3
hold,11,3,14
holder,1,0,1
holdin,2,0,2
holding,2,2,4
holds,0,3,3
holic,0,1,1
holiday,12,11,23
holidayholiday,0,1,1
holidays,1,13,14
holla,2,2,4
holler,0,1,1
hollered,2,0,2
holliday,0,1,1
hollleer,0,1,1
hollows,0,1,1
holly,1,0,1
hollyoaks,2,0,2
hollywood,4,1,5
hols,0,1,1
holy,5,6,11
holyshitholyshitholyshitholyshit,0,1,1
homage,1,0,1
homance,0,1,1
homances,0,1,1
home,115,89,204
homebase,1,0,1
homeboy,0,1,1
homeee,1,2,3
homeeeee,1,0,1
homeland,1,0,1
homeless,1,0,1
homemade,2,0,2
homepage,1,0,1
homes,0,1,1
homeschool,1,0,1
homeward,1,0,1
homework,10,5,15
homewrecking,1,0,1
homey,0,1,1
homfgg,1,0,1
homie,1,0,1
homies,1,1,2
homo,0,1,1
hon,0,2,2
hone,1,0,1
honest,1,1,2
honestly,4,2,6
honesty,1,0,1
honey,8,6,14
honeybun,0,1,1
hong,0,1,1
honor,5,1,6
honorable,0,1,1
honored,0,2,2
honoring,1,0,1
honoured,0,1,1
hoo,5,0,5
hood,1,0,1
hoodie,1,0,1
hoodies,0,1,1
hook,2,3,5
hooked,3,2,5
hooker,0,1,1
hookie,0,1,1
hooking,1,0,1
hookitupppp,0,1,1
hoon,1,0,1
hooomee,0,1,1
hoooooooooome,0,1,1
hooray,2,2,4
hoot,1,0,1
hoover,2,0,2
hoow,0,1,1
hop,1,3,4
hope,78,122,200
hopeful,1,0,1
hopefully,17,13,30
hopefuly,0,1,1
hopeless,2,0,2
hopes,6,3,9
hopin,0,2,2
hoping,17,6,23
hopkins,0,1,1
hoppers,0,1,1
horibbble,1,0,1
horible,1,0,1
hormone,0,1,1
hornbach,0,2,2
horner,1,0,1
horns,1,0,1
horny,0,1,1
horray,0,1,1
horrible,12,2,14
horribles,0,1,1
horribly,3,1,4
horrific,1,0,1
horror,1,2,3
horse,0,2,2
horses,0,2,2
hose,0,1,1
hospital,22,3,25
hospitals,0,1,1
host,1,0,1
hosted,1,0,1
hostel,2,0,2
hosters,0,1,1
hostess,1,1,2
hostility,0,1,1
hosting,0,1,1
hosts,0,1,1
hot,78,26,104
hotbabe,0,1,1
hotdog,1,0,1
hotel,6,3,9
hotels,0,2,2
hott,2,0,2
hotter,2,1,3
hottest,0,1,1
hottie,2,0,2
hotttt,1,0,1
hotu,1,0,1
hotx,0,1,1
hou,1,0,1
hound,0,1,1
hour,27,27,54
hourly,0,1,1
hours,46,27,73
house,44,32,76
household,0,3,3
houseofgems,1,0,1
houses,2,0,2
housetrained,1,0,1
housewifey,0,1,1
housework,1,2,3
housie,0,1,1
housing,1,0,1
houston,3,1,4
hover,0,1,1
hovering,0,1,1
how,137,146,283
howard,0,1,1
howdy,0,3,3
however,6,3,9
hows,3,9,12
hp,1,3,4
hpthemusical,1,0,1
hq,2,0,2
hr,4,3,7
hrere,0,1,1
hrim,0,1,1
hrs,10,5,15
hsm,1,0,1
htc,2,1,3
html,0,6,6
http,2,0,2
htwn,0,1,1
hu,0,1,1
hua,1,0,1
hub,1,1,2
hubby,2,6,8
hubz,1,0,1
huckdoll,0,1,1
huckleberri,0,1,1
hug,8,4,12
huge,8,6,14
hugged,1,1,2
huggers,0,1,1
huggies,0,1,1
huggles,1,0,1
huggs,0,1,1
hugh,0,1,1
hughes,0,1,1
hughesy,0,1,1
huglove,0,1,1
hugs,9,8,17
hugsssssssss,0,1,1
hugzzzzzzz,1,0,1
hugzzzzzzzzzzzz,2,0,2
huh,4,5,9
huhauha,1,0,1
huhh,0,1,1
hulk,0,1,1
hulu,0,1,1
hum,1,1,2
humans,1,1,2
humid,3,1,4
humidity,1,0,1
humiliated,1,0,1
humm,0,1,1
hummer,0,1,1
hummingbird,1,0,1
hummm,0,1,1
humor,0,3,3
humorless,1,0,1
humour,0,2,2
hump,0,1,1
humus,1,0,1
hun,5,7,12
hunch,0,2,2
hundred,0,1,1
hung,2,0,2
hungarian,0,2,2
hunger,1,0,1
hungover,1,0,1
hungrey,0,1,1
hungry,23,7,30
hunney,1,0,1
hunny,0,1,1
hunnybunny,0,1,1
hunt,1,3,4
hunter,1,0,1
hunters,1,1,2
hunting,2,4,6
huntington,1,0,1
hunz,0,1,1
hurley,0,2,2
hurrah,0,1,1
hurray,0,1,1
hurricane,0,1,1
hurrt,1,0,1
hurry,1,2,3
hurt,26,5,31
hurting,3,2,5
hurts,35,3,38
hurumf,1,0,1
husband,6,3,9
husbands,1,0,1
huw,1,0,1
hv,1,2,3
hve,1,0,1
hving,1,0,1
hvnt,1,0,1
hw,2,0,2
hy,0,1,1
hybrid,2,0,2
hyde,1,0,1
hye,0,1,1
hym,1,0,1
hyper,1,1,2
hysterical,0,1,1
ia,1,0,1
iad,0,1,1
iain,0,3,3
ian,1,1,2
iata,0,1,1
ibiza,0,1,1
ibrahim,1,0,1
ibu,0,1,1
ic,2,0,2
ice,3,12,15
iced,2,0,2
ich,0,2,2
ichat,0,2,2
icky,1,0,1
icon,12,2,14
icons,3,0,3
ics,1,0,1
icsid,1,0,1
ictoria,0,1,1
icy,1,1,2
id,5,9,14
idc,1,0,1
idea,19,18,37
ideally,0,1,1
ideas,5,6,11
identi,1,0,1
identica,4,0,4
identified,1,0,1
identifox,1,0,1
identity,0,1,1
idiot,3,2,5
idiots,2,0,2
idk,15,2,17
idkk,1,0,1
idol,1,2,3
idw,1,0,1
ie,3,4,7
ieft,1,0,1
if,124,181,305
iframeshim,1,0,1
ifs,0,1,1
ifurnastee,0,1,1
ight,1,0,1
iglesia,0,1,1
ignore,1,2,3
ignored,2,1,3
ignoring,1,0,1
igoogle,0,1,1
ihad,1,2,3
ihadith,0,1,1
ihop,1,0,1
ii,2,2,4
iii,0,2,2
iin,0,1,1
iirc,2,0,2
ike,1,0,1
ikea,0,2,2
il,0,1,1
ili,0,1,1
ill,22,12,34
illegal,1,0,1
illest,1,0,1
illiterate,1,0,1
illuminous,1,0,1
ilove,0,1,1
iloveyou,0,1,1
ilu,0,1,1
iluma,0,1,1
ilusm,1,0,1
ilux,1,0,1
ily,5,3,8
ilytoo,0,1,1
im,165,96,261
ima,3,2,5
image,2,3,5
images,2,0,2
imaginary,1,0,1
imagine,6,2,8
imagined,0,2,2
imediaconnection,0,1,1
iming,1,0,1
imisshim,1,0,1
imissyou,0,1,1
imm,1,1,2
imma,2,0,2
immediate,0,1,1
immediately,0,1,1
imminent,1,0,1
immune,1,0,1
imp,0,1,1
impersonation,0,1,1
implement,1,0,1
importance,0,1,1
important,1,4,5
imported,0,1,1
impossible,5,3,8
impotent,0,1,1
impressed,2,3,5
impressions,0,1,1
impressive,1,2,3
improper,1,0,1
improve,0,1,1
improvement,1,1,2
improving,2,2,4
in,777,659,1436
ina,1,0,1
inadvertently,0,1,1
inappropriate,0,1,1
inappropriately,0,1,1
inbox,1,1,2
inc,1,1,2
incendiary,0,1,1
inches,1,0,1
incidentally,0,1,1
incl,0,1,1
inclined,1,0,1
include,0,4,4
included,0,2,2
including,4,1,5
includng,1,0,1
inclusive,0,2,2
income,1,0,1
incomplete,1,0,1
incorporate,0,1,1
increase,2,1,3
increasing,0,1,1
incredible,1,3,4
incredibly,4,1,5
incremental,0,1,1
incubus,0,1,1
indeed,4,8,12
independently,1,0,1
indesign,0,1,1
